ID,Geno,Sp,Rk,Trt,Pos,Harv,Reps,Bench,Dry_wt,Field_cap_111215,Alive_111315,Weight_111315,Max_water,mass_17-Nov-15,mass_18-Nov-15,mass_19-Nov-15,mass_20-Nov-15,mass_21-Nov-15,mass_22-Nov-15,mass_23-Nov-15,mass_24-Nov-15,mass_25-Nov-15,mass_26-Nov-15,mass_27-Nov-15,mass_28-Nov-15,mass_29-Nov-15,mass_30-Nov-15,mass_1-Dec-15,mass_2-Dec-15,mass_3-Dec-15,mass_4-Dec-15,percent_17-Nov-15,percent_18-Nov-15,percent_19-Nov-15,percent_20-Nov-15,percent_21-Nov-15,percent_22-Nov-15,percent_23-Nov-15,percent_24-Nov-15,percent_25-Nov-15,percent_26-Nov-15,percent_27-Nov-15,percent_28-Nov-15,percent_29-Nov-15,percent_30-Nov-15,percent_1-Dec-15,percent_2-Dec-15,percent_3-Dec-15,percent_4-Dec-15,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,lf_harv_mass,lf_wet_mass,lf_dry_mass,Water_content,Relative_WC,Shoot_Mass,Root_Mass,Shoot_Root_Ratio,leaf_area,aboveground_greenarea,SLA
1,Bd21,b_dist,1,20,4,harvest1,rep1,bench_1,404,679,1,NA,275,648,656,653,648,647,643,645,639,638,640,626,641,649,658,NA,NA,NA,NA,0.887272727,0.916363636,0.905454545,0.887272727,0.883636364,0.869090909,0.876363636,0.854545455,0.850909091,0.858181818,0.807272727,0.861818182,0.890909091,0.923636364,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.887272727,0.916363636,0.905454545,0.887272727,0.883636364,0.869090909,0.876363636,0.854545455,0.850909091,0.858181818,0.807272727,0.861818182,0.890909091,0.923636364,41.52,41.5,11.9,71.33911368,100.0675676,,,,664,NA,55.79831933
2,Bd21,b_dist,1,20,12,harvest1,rep2,bench_1,419,710,1,NA,291,689,696,692,685,682,678,678,671,669,670,653,666,673,681,NA,NA,NA,NA,0.927835052,0.951890034,0.93814433,0.914089347,0.903780069,0.890034364,0.890034364,0.865979381,0.859106529,0.862542955,0.804123711,0.848797251,0.872852234,0.900343643,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.927835052,0.951890034,0.93814433,0.914089347,0.903780069,0.890034364,0.890034364,0.865979381,0.859106529,0.862542955,0.804123711,0.848797251,0.872852234,0.900343643,,,,,,137.7,125.1,0.908496732,NA,3578,#VALUE!
3,ABR2,b_dist,1,20,2,harvest1,rep1,bench_1,396,655,1,NA,259,634,638,634,630,628,625,627,623,622,624,611,625,634,643,NA,NA,NA,NA,0.918918919,0.934362934,0.918918919,0.903474903,0.895752896,0.884169884,0.891891892,0.876447876,0.872586873,0.88030888,0.83011583,0.884169884,0.918918919,0.953667954,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.918918919,0.934362934,0.918918919,0.903474903,0.895752896,0.884169884,0.891891892,0.876447876,0.872586873,0.88030888,0.83011583,0.884169884,0.918918919,0.953667954,42.39,43,14,66.97334277,97.89655172,,,,687,NA,49.07142857
4,ABR2,b_dist,1,20,6,harvest1,rep2,bench_1,409,682,1,NA,273,656,662,658,652,649,644,645,638,636,637,620,634,641,648,NA,NA,NA,NA,0.904761905,0.926739927,0.912087912,0.89010989,0.879120879,0.860805861,0.864468864,0.838827839,0.831501832,0.835164835,0.772893773,0.824175824,0.84981685,0.875457875,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.904761905,0.926739927,0.912087912,0.89010989,0.879120879,0.860805861,0.864468864,0.838827839,0.831501832,0.835164835,0.772893773,0.824175824,0.84981685,0.875457875,,,,,,107.7,139.4,1.294336119,NA,3161,#VALUE!
5,Bd3-1,b_dist,1,20,7,harvest1,rep1,bench_1,417,693,1,NA,276,687,692,684,672,665,656,654,642,636,632,606,616,619,623,NA,NA,NA,NA,0.97826087,0.996376812,0.967391304,0.923913043,0.898550725,0.865942029,0.858695652,0.815217391,0.793478261,0.778985507,0.684782609,0.721014493,0.731884058,0.746376812,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.97826087,0.996376812,0.967391304,0.923913043,0.898550725,0.865942029,0.858695652,0.815217391,0.793478261,0.778985507,0.684782609,0.721014493,0.731884058,0.746376812,44.77,45.3,11.2,74.98324771,98.4457478,,,,713,NA,63.66071429
6,Bd3-1,b_dist,1,20,1,harvest1,rep2,bench_1,416,707,1,NA,291,680,683,674,663,655,648,647,638,635,634,615,627,631,637,NA,NA,NA,NA,0.907216495,0.917525773,0.886597938,0.848797251,0.821305842,0.797250859,0.793814433,0.762886598,0.75257732,0.749140893,0.683848797,0.725085911,0.738831615,0.759450172,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.907216495,0.917525773,0.886597938,0.848797251,0.821305842,0.797250859,0.793814433,0.762886598,0.75257732,0.749140893,0.683848797,0.725085911,0.738831615,0.759450172,,,,,,210.6,197.5,0.937796771,NA,4902,#VALUE!
7,Adi-10,b_dist,1,20,5,harvest1,rep1,bench_1,406,672,1,NA,266,646,651,646,639,635,630,631,624,622,622,607,621,628,636,NA,NA,NA,NA,0.902255639,0.921052632,0.902255639,0.87593985,0.860902256,0.842105263,0.845864662,0.819548872,0.812030075,0.812030075,0.755639098,0.808270677,0.834586466,0.864661654,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.902255639,0.921052632,0.902255639,0.87593985,0.860902256,0.842105263,0.845864662,0.819548872,0.812030075,0.812030075,0.755639098,0.808270677,0.834586466,0.864661654,36.93,37.5,12.1,67.23531005,97.75590551,,,,565,NA,46.69421488
8,Adi-10,b_dist,1,20,13,harvest1,rep2,bench_1,416,705,1,NA,289,682,687,681,675,668,662,662,654,650,649,630,642,648,655,NA,NA,NA,NA,0.920415225,0.937716263,0.916955017,0.896193772,0.871972318,0.851211073,0.851211073,0.823529412,0.809688581,0.806228374,0.740484429,0.78200692,0.802768166,0.826989619,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.920415225,0.937716263,0.916955017,0.896193772,0.871972318,0.851211073,0.851211073,0.823529412,0.809688581,0.806228374,0.740484429,0.78200692,0.802768166,0.826989619,,,,,,192.1,148,0.770432067,NA,5551,#VALUE!
9,Koz-1 ,b_dist,1,20,9,harvest1,rep1,bench_1,397,666,1,NA,269,642,648,643,638,635,631,633,627,626,627,614,629,637,646,NA,NA,NA,NA,0.910780669,0.933085502,0.914498141,0.895910781,0.884758364,0.869888476,0.87732342,0.855018587,0.851301115,0.855018587,0.80669145,0.862453532,0.892193309,0.925650558,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.910780669,0.933085502,0.914498141,0.895910781,0.884758364,0.869888476,0.87732342,0.855018587,0.851301115,0.855018587,0.80669145,0.862453532,0.892193309,0.925650558,28.66,29.1,9.4,67.20167481,97.76649746,,,,597,NA,63.5106383
10,Koz-1 ,b_dist,1,20,18,harvest1,rep2,bench_1,401,671,1,NA,270,640,647,642,634,630,624,623,615,613,612,595,608,614,621,NA,NA,NA,NA,0.885185185,0.911111111,0.892592593,0.862962963,0.848148148,0.825925926,0.822222222,0.792592593,0.785185185,0.781481481,0.718518519,0.766666667,0.788888889,0.814814815,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.885185185,0.911111111,0.892592593,0.862962963,0.848148148,0.825925926,0.822222222,0.792592593,0.785185185,0.781481481,0.718518519,0.766666667,0.788888889,0.814814815,,,,,,159,132.6,0.833962264,NA,4383,#VALUE!
