Sample ID,d13C,C Amount (ug),d13C Comment,d15N,N Amount (ug),d15N Comment,Tray Name,Well Id,Type of Material,Analysis,Enriched?,Estimated Enrichment,Amount (mg),OurLabID,Analysis Number
140,-30.52,832.40,,3.18,36.09,,Bd-d13-tray1,A1,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.202,1257183,403685
34,-30.74,644.70,,2.62,29.34,,Bd-d13-tray1,A2,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.83,1257184,403686
108,-32.68,742.86,,2.89,31.27,,Bd-d13-tray1,A3,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.874,1257185,403687
74,-31.95,639.49,,3.05,34.79,,Bd-d13-tray1,A4,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.86,1257186,403688
256,-29.86,865.06,,3.32,32.89,,Bd-d13-tray1,A5,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.15,1257187,403689
310,-33.71,861.06,,1.46,44.15,,Bd-d13-tray1,A6,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.11,1257188,403690
390,-33.03,751.88,,1.86,33.87,,Bd-d13-tray1,A7,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.818,1257189,403691
482,-32.67,827.00,,3.64,35.16,,Bd-d13-tray1,A8,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.079,1257190,403692
592,-31.28,841.48,,2.56,26.45,,Bd-d13-tray1,A9,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.159,1257191,403693
270,-33.28,752.42,,3.05,35.92,,Bd-d13-tray1,A10,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.849,1257192,403694
82,-34.31,802.50,,1.08,49.08,,Bd-d13-tray1,A11,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.082,1257193,403695
156,-31.29,874.59,,1.45,35.57,,Bd-d13-tray1,A12,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.182,1257194,403696
134,-30.84,542.96,,3.04,23.16,,Bd-d13-tray1,B1,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.796,1257195,403700
38,-30.91,546.06,,2.66,25.36,,Bd-d13-tray1,B2,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.86,1257196,403701
102,-32.78,759.02,,3.84,36.44,,Bd-d13-tray1,B3,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.988,1257197,403702
396,-30.94,847.75,,2.67,26.08,,Bd-d13-tray1,B4,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.177,1257198,403703
100,-33.09,746.12,,2.70,51.56,,Bd-d13-tray1,B5,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.114,1257199,403704
314,-30.13,831.78,,0.28,41.85,,Bd-d13-tray1,B6,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.115,1257200,403705
388,-32.64,759.34,,2.74,31.96,,Bd-d13-tray1,B7,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.894,1257201,403706
496,-30.83,815.54,,2.24,28.19,,Bd-d13-tray1,B8,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.037,1257202,403707
590,-33.18,789.83,,3.53,35.06,,Bd-d13-tray1,B9,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.963,1257203,403708
268,-32.74,766.87,,3.15,30.22,,Bd-d13-tray1,B10,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.895,1257204,403709
94,-32.97,801.78,,1.60,54.34,,Bd-d13-tray1,B11,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.122,1257205,403710
160,-31.91,791.02,,3.05,48.20,,Bd-d13-tray1,B12,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.157,1257206,403711
138,-30.74,828.48,,3.31,34.98,,Bd-d13-tray1,C1,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.185,1257207,403714
132,-30.18,786.78,,3.23,23.46,,Bd-d13-tray1,C2,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.96,1257208,403715
120,-31.23,694.58,,3.18,28.56,,Bd-d13-tray1,C3,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.897,1257209,403716
290,-33.32,815.70,,1.06,37.23,,Bd-d13-tray1,C4,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.025,1257210,403717
248,-32.11,839.38,,2.55,28.02,,Bd-d13-tray1,C5,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.123,1257211,403718
316,-29.74,856.20,,2.10,35.01,,Bd-d13-tray1,C6,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.205,1257212,403719
382,-33.00,753.19,,2.96,34.56,,Bd-d13-tray1,C7,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.877,1257213,403720
486,-32.36,718.00,,2.68,34.35,,Bd-d13-tray1,C8,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.82,1257214,403721
490,-33.88,694.72,,2.54,37.42,,Bd-d13-tray1,C9,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.865,1257215,403722
304,-33.67,775.53,,3.44,37.07,,Bd-d13-tray1,C10,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.925,1257216,403723
90,-33.60,781.23,,3.54,35.47,,Bd-d13-tray1,C11,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.972,1257217,403724
146,-33.64,766.79,,2.54,40.68,,Bd-d13-tray1,C12,plant tissue in tin,"d13C, d15N, TotC & N",No,,2,1257218,403725
128,-32.65,511.61,,3.59,24.57,,Bd-d13-tray1,D1,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.121,1257219,403729
130,-33.00,808.01,,3.76,38.44,,Bd-d13-tray1,D2,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.961,1257220,403730
216,-30.64,794.74,,1.70,30.01,,Bd-d13-tray1,D3,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.077,1257221,403731
202,-32.12,774.31,,2.64,40.51,,Bd-d13-tray1,D4,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.958,1257222,403732
92,-31.78,838.22,,1.76,29.98,,Bd-d13-tray1,D5,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.11,1257223,403733
312,-31.44,670.70,,2.54,26.70,,Bd-d13-tray1,D6,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.876,1257224,403734
286,-33.45,797.83,,2.07,44.34,,Bd-d13-tray1,D7,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.002,1257225,403735
492,-31.19,781.38,,3.25,26.32,,Bd-d13-tray1,D8,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.017,1257226,403736
494,-32.08,621.78,,2.88,32.36,,Bd-d13-tray1,D9,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.056,1257227,403737
302,-31.94,817.99,,3.78,37.21,,Bd-d13-tray1,D10,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.129,1257228,403738
88,-34.03,680.24,,1.71,40.87,,Bd-d13-tray1,D11,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.864,1257229,403739
562,-32.12,762.85,,1.05,38.67,,Bd-d13-tray1,D12,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.919,1257230,403740
106,-32.98,794.31,,2.65,38.35,,Bd-d13-tray1,E1,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.062,1257231,403747
136,-30.32,730.89,,2.87,28.36,,Bd-d13-tray1,E2,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.82,1257232,403748
118,-30.62,705.65,,3.42,31.19,,Bd-d13-tray1,E3,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.879,1257233,403749
210,-32.60,821.42,,-0.01,37.11,,Bd-d13-tray1,E4,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.012,1257234,403750
96,-30.96,613.15,,0.03,34.34,,Bd-d13-tray1,E5,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.929,1257235,403751
272,-30.24,845.24,,2.76,26.85,,Bd-d13-tray1,E6,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.122,1257236,403752
292,-32.09,798.45,,2.62,27.76,,Bd-d13-tray1,E7,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.03,1257237,403753
384,-34.69,808.77,,1.98,49.97,,Bd-d13-tray1,E8,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.11,1257238,403754
500,-32.25,763.36,,1.95,33.90,,Bd-d13-tray1,E9,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.079,1257239,403755
306,-32.38,790.24,,1.57,37.29,,Bd-d13-tray1,E10,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.081,1257240,403756
260,-31.32,713.16,,2.57,37.89,,Bd-d13-tray1,E11,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.052,1257241,403757
56,-31.46,806.37,,1.42,44.03,,Bd-d13-tray1,E12,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.154,1257242,403758
104,-33.66,687.29,,2.89,42.95,,Bd-d13-tray1,F1,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.974,1257243,403762
124,-33.53,743.30,,2.89,48.41,,Bd-d13-tray1,F2,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.833,1257244,403763
116,-30.69,812.27,,3.39,29.33,,Bd-d13-tray1,F3,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.155,1257245,403764
208,-32.88,678.56,,2.37,30.49,,Bd-d13-tray1,F4,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.859,1257246,403765
52,-31.70,860.82,,1.68,32.29,,Bd-d13-tray1,F5,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.195,1257247,403766
276,-29.84,833.07,,3.02,27.95,,Bd-d13-tray1,F6,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.11,1257248,403767
300,-32.11,685.18,,2.33,33.08,,Bd-d13-tray1,F7,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.97,1257249,403768
392,-31.91,798.16,,2.32,26.00,,Bd-d13-tray1,F8,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.062,1257250,403769
484,-34.08,843.29,,1.89,46.55,,Bd-d13-tray1,F9,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.147,1257251,403770
308,-32.58,720.86,,2.97,35.00,,Bd-d13-tray1,F10,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.929,1257252,403771
250,-33.12,772.87,,2.48,37.06,,Bd-d13-tray1,F11,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.001,1257253,403772
570,-33.05,803.40,,2.36,40.42,,Bd-d13-tray1,F12,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.116,1257254,403773
28,-32.86,766.85,,3.02,33.71,,Bd-d13-tray1,G1,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.974,1257255,403777
122,-31.63,840.04,,2.71,46.14,,Bd-d13-tray1,G2,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.051,1257256,403778
30,-33.15,827.77,,3.65,42.23,,Bd-d13-tray1,G3,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.117,1257257,403779
204,-33.38,714.35,,-1.35,40.99,,Bd-d13-tray1,G4,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.921,1257258,403780
576,-30.62,727.09,,2.40,27.67,,Bd-d13-tray1,G5,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.792,1257259,403781
274,-31.21,774.22,,2.58,28.88,,Bd-d13-tray1,G6,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.981,1257260,403782
284,-33.77,621.41,,0.77,39.44,,Bd-d13-tray1,G7,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.889,1257261,403783
394,-32.89,846.87,,2.47,38.15,,Bd-d13-tray1,G8,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.225,1257262,403784
498,-31.08,710.44,,2.82,26.83,,Bd-d13-tray1,G9,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.125,1257263,403785
440,-30.57,741.85,,1.39,35.24,,Bd-d13-tray1,G10,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.087,1257264,403786
264,-33.28,715.15,,3.21,40.70,,Bd-d13-tray1,G11,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.92,1257265,403787
98,-31.51,702.56,,1.90,34.70,,Bd-d13-tray1,G12,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.157,1257266,403788
24,-33.42,838.14,,3.35,52.86,,Bd-d13-tray1,H1,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.153,1257267,403791
126,-33.39,684.26,,2.46,40.31,,Bd-d13-tray1,H2,plant tissue in tin,"d13C, d15N, TotC & N",No,,1.883,1257268,403792
32,-30.94,793.15,,3.10,27.37,,Bd-d13-tray1,H3,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.008,1257269,403793
110,-33.59,859.23,,3.39,48.94,,Bd-d13-tray1,H4,plant tissue in tin,"d13C, d15N, TotC & N",No,,2.141,1257270,403794
